Tiempo,Entrada,Salida
0.0,20,5.203574975173783
0.5,20,5.195630585898709
1.0,20,5.171797418073487
1.5,20,5.283018867924529
2.0,20,5.2075471698113205
2.5,20,5.2075471698113205
3.0,20,5.199602780536246
3.5,20,5.203574975173783
4.0,20,5.247269116186693
4.5,20,5.167825223435949
5.0,20,5.191658391261171
5.5,20,5.2075471698113205
6.0,20,5.199602780536246
6.5,20,5.159880834160875
7.0,20,5.195630585898709
7.5,20,5.132075471698114
8.0,20,5.175769612711024
8.5,20,5.195630585898709
9.0,20,5.175769612711024
9.5,20,5.1837140019860986
10.0,20,5.275074478649454
10.5,20,5.247269116186693
11.0,20,5.2075471698113205
11.5,20,5.199602780536246
12.0,20,5.203574975173783
12.5,20,5.239324726911619
13.0,20,5.191658391261171
13.5,20,5.100297914597816
14.0,20,5.195630585898709
14.5,20,5.167825223435949
15.0,20,5.199602780536246
15.5,20,5.195630585898709
16.0,20,5.271102284011917
16.5,20,5.211519364448858
17.0,20,5.2075471698113205
17.5,20,5.203574975173783
18.0,20,4.937437934458789
18.5,20,5.302879841112215
19.0,20,5.187686196623636
19.5,20,5.076464746772592
20.0,60,5.326713008937439
20.5,60,5.199602780536246
21.0,60,5.239324726911619
21.5,60,5.501489572989076
22.0,60,5.906653426017876
22.5,60,5.791459781529296
23.0,60,5.5213505461767625
23.5,60,6.168818272095333
24.0,60,6.284011916583912
24.5,60,6.748758689175769
25.0,60,6.58987090367428
25.5,60,7.03475670307845
26.0,60,7.789473684210527
26.5,60,7.360476663356504
27.0,60,9.334657398212512
27.5,60,8.174776564051639
28.0,60,8.595829195630586
28.5,60,9.481628599801391
29.0,60,8.607745779543198
29.5,60,9.25124131082423
30.0,60,11.157894736842106
30.5,60,11.074478649453823
31.0,60,11.300893743793447
31.5,60,11.634558093346575
32.0,60,12.472691161866932
32.5,60,12.99304865938431
33.0,60,13.82720953326713
33.5,60,13.819265143992055
34.0,60,14.208540218470706
34.5,60,14.8798411122145
35.0,60,15.304865938430982
35.5,60,15.074478649453823
