Tiempo,Entrada,Salida
0.0,15,3.168478739002934
1.0,15,3.1945417888563057
2.0,15,3.094633431085045
3.0,15,3.0164442815249277
4.0,15,2.9368071847507338
5.0,15,2.874545454545455
6.0,15,2.8209714076246346
7.0,15,2.7789809384164244
8.0,15,2.7471260997067457
9.0,15,2.7283027859237556
10.0,15,2.719615102639297
11.0,15,2.702239736070382
12.0,15,2.679072580645162
13.0,15,2.670384897360705
14.0,15,2.6631451612903234
15.0,15,2.6559054252199434
16.0,15,2.6515615835777133
17.0,15,2.660249266862172
18.0,15,2.6501136363636384
19.0,15,2.6457697947214083
20.0,80,2.6327382697947233
21.0,80,2.7311986803519073
22.0,80,4.45425586510264
23.0,80,6.061477272727274
24.0,80,7.400828445747802
25.0,80,8.450590175953081
26.0,80,9.288951612903226
27.0,80,9.968038856304986
28.0,80,10.511019061583578
29.0,80,10.948299120234605
30.0,80,11.29435850439883
31.0,80,11.588291788856306
32.0,80,11.80693181818182
33.0,80,11.982133431085046
34.0,80,12.131271994134899
35.0,80,12.241315982404693
36.0,80,12.329640762463345
37.0,80,12.406381964809384
38.0,80,12.449820381231671
39.0,80,12.499050586510265
40.0,80,12.516425953079178
41.0,80,12.54393695014663
42.0,80,12.54393695014663
43.0,80,12.54393695014663
44.0,80,12.54683284457478
45.0,80,12.551176686217008
46.0,80,12.533801319648095
47.0,80,12.52076979472141
48.0,80,12.496154692082111
49.0,80,12.50049853372434
50.0,80,12.490362903225808
51.0,80,12.493258797653962
52.0,80,12.472987536656891
53.0,80,12.457060117302053
54.0,80,12.432445014662758
55.0,80,12.41651759530792
56.0,80,12.423757331378301
57.0,80,12.406381964809384
58.0,80,12.393350439882699
59.0,80,12.368735337243404
60.0,80,12.355703812316715
