Tiempo,Referencia,Error,Señal de control,Salida
0.0,1.6,-22.062723607038123,-22.062723607038123,23.662723607038124
1.0,1.6,-22.656381964809384,-22.656381964809384,24.256381964809385
2.0,1.6,-22.563713343108503,-22.563713343108503,24.163713343108505
3.0,1.6,-21.25042521994135,-21.25042521994135,22.85042521994135
4.0,1.6,-18.75850806451613,-18.75850806451613,20.35850806451613
5.0,1.6,-15.801799853372435,-15.801799853372435,17.401799853372435
6.0,1.6,-12.580117302052786,-12.580117302052786,14.180117302052786
7.0,1.6,-9.9825,-9.9825,11.5825
8.0,1.6,-7.817818914956012,-7.817818914956012,9.417818914956012
9.0,1.6,-6.083178152492669,-6.083178152492669,7.683178152492669
10.0,1.6,-4.65550219941349,-4.65550219941349,6.25550219941349
11.0,1.6,-3.4768731671554263,-3.4768731671554263,5.076873167155426
12.0,1.6,-2.5371554252199426,-2.5371554252199426,4.137155425219943
13.0,1.6,-1.7567118768328451,-1.7567118768328451,3.356711876832845
14.0,1.6,-1.1369904692082122,-1.1369904692082122,2.7369904692082123
15.0,1.6,-0.6186253665689168,-0.6186253665689168,2.218625366568917
16.0,1.6,-0.20451246334311035,-0.20451246334311035,1.8045124633431104
17.0,1.6,0.1314112903225788,0.1314112903225788,1.4685887096774213
18.0,1.6,0.40652126099706587,0.40652126099706587,1.1934787390029342
19.0,1.6,0.6266092375366559,0.6266092375366559,0.9733907624633442
20.0,1.6,0.8133944281524923,0.8133944281524923,0.7866055718475078
21.0,1.6,0.95674120234604,0.95674120234604,0.6432587976539601
22.0,1.6,1.085608504398826,1.085608504398826,0.5143914956011741
23.0,1.6,1.6126612903225799,1.6126612903225799,-0.012661290322579788
24.0,1.6,1.6141092375366548,1.6141092375366548,-0.014109237536654717
25.0,1.6,1.6155571847507297,1.6155571847507297,-0.015557184750729647
26.0,1.6,1.6155571847507297,1.6155571847507297,-0.015557184750729647
27.0,1.6,1.611213343108505,1.611213343108505,-0.011213343108504858
28.0,1.6,1.6184530791788867,1.6184530791788867,-0.01845307917888661
29.0,1.6,1.611213343108505,1.611213343108505,-0.011213343108504858
30.0,1.6,1.6141092375366548,1.6141092375366548,-0.014109237536654717
31.0,1.6,1.611213343108505,1.611213343108505,-0.011213343108504858
32.0,1.6,1.6141092375366548,1.6141092375366548,-0.014109237536654717
33.0,1.6,1.611213343108505,1.611213343108505,-0.011213343108504858
34.0,1.6,1.611213343108505,1.611213343108505,-0.011213343108504858
35.0,1.6,1.611213343108505,1.611213343108505,-0.011213343108504858
36.0,1.6,1.6141092375366548,1.6141092375366548,-0.014109237536654717
37.0,1.6,1.6227969208211115,1.6227969208211115,-0.0227969208211114
38.0,1.6,1.611213343108505,1.611213343108505,-0.011213343108504858
39.0,1.6,1.6097653958944265,1.6097653958944265,-0.009765395894426376
40.0,1.6,1.6141092375366548,1.6141092375366548,-0.014109237536654717
41.0,1.6,1.6126612903225799,1.6126612903225799,-0.012661290322579788
42.0,1.6,1.6126612903225799,1.6126612903225799,-0.012661290322579788
43.0,1.6,1.6141092375366548,1.6141092375366548,-0.014109237536654717
44.0,1.6,1.6141092375366548,1.6141092375366548,-0.014109237536654717
45.0,1.6,1.6155571847507297,1.6155571847507297,-0.015557184750729647
46.0,1.6,1.6126612903225799,1.6126612903225799,-0.012661290322579788
