Tiempo,Referencia,Error,Señal de control,Salida
0.0,20,19.36857142857143,34.86342857142857,0.6314285714285731
1.0,20,19.34285714285714,34.817142857142855,0.6571428571428598
2.0,20,19.312857142857144,34.76314285714286,0.6871428571428574
3.0,20,19.257142857142856,34.66285714285714,0.7428571428571452
4.0,20,19.248571428571427,34.64742857142857,0.7514285714285741
5.0,20,19.150000000000002,34.470000000000006,0.8499999999999993
6.0,20,19.094285714285714,34.36971428571429,0.9057142857142871
7.0,20,18.982857142857142,34.16914285714286,1.0171428571428591
8.0,20,18.99142857142857,34.18457142857143,1.0085714285714302
9.0,20,18.927142857142858,34.06885714285715,1.0728571428571434
10.0,20,18.88,33.984,1.1200000000000023
11.0,20,18.794285714285714,33.82971428571429,1.2057142857142877
12.0,20,18.76,33.768,1.2399999999999998
13.0,20,18.73,33.714,1.270000000000001
14.0,20,18.674285714285716,33.61371428571429,1.3257142857142852
15.0,20,18.627142857142857,33.52885714285714,1.372857142857144
16.0,20,18.571428571428573,33.42857142857143,1.4285714285714284
17.0,20,18.524285714285714,33.343714285714285,1.4757142857142873
18.0,20,18.472857142857144,33.25114285714286,1.5271428571428571
19.0,20,18.417142857142856,33.15085714285714,1.582857142857145
20.0,20,18.391428571428573,33.10457142857143,1.608571428571428
21.0,20,18.344285714285714,33.01971428571429,1.655714285714287
22.0,20,18.335714285714285,33.004285714285714,1.664285714285716
23.0,20,18.262857142857143,32.87314285714286,1.737142857142858
24.0,20,18.232857142857142,32.81914285714286,1.7671428571428591
25.0,20,18.202857142857145,32.76514285714286,1.7971428571428567
26.0,20,18.15142857142857,32.67257142857143,1.84857142857143
27.0,20,18.134285714285713,32.641714285714286,1.8657142857142879
28.0,20,18.074285714285715,32.53371428571429,1.9257142857142866
29.0,20,18.04,32.472,1.9600000000000022
30.0,30,28.027142857142856,50.44885714285714,1.9728571428571455
31.0,30,27.975714285714286,50.35628571428572,2.0242857142857154
32.0,30,27.93285714285714,50.27914285714286,2.06714285714286
33.0,30,27.86,50.148,2.140000000000002
34.0,30,27.774285714285714,49.99371428571428,2.2257142857142873
35.0,30,27.63714285714286,49.746857142857145,2.3628571428571425
36.0,30,27.56,49.608,2.4400000000000026
37.0,30,27.452857142857145,49.41514285714286,2.5471428571428567
38.0,30,27.35,49.230000000000004,2.65
39.0,30,27.315714285714286,49.168285714285716,2.6842857142857155
40.0,30,27.212857142857143,48.98314285714286,2.7871428571428587
41.0,30,27.11857142857143,48.813428571428574,2.881428571428573
42.0,30,27.007142857142856,48.612857142857145,2.992857142857145
43.0,30,26.912857142857142,48.44314285714286,3.0871428571428594
44.0,30,26.84,48.312,3.1600000000000015
45.0,30,26.767142857142858,48.18085714285714,3.2328571428571435
46.0,30,26.638571428571428,47.94942857142857,3.3614285714285734
47.0,30,26.57,47.826,3.430000000000001
48.0,30,26.484285714285715,47.67171428571429,3.5157142857142865
49.0,30,26.415714285714287,47.54828571428572,3.584285714285714
50.0,30,26.321428571428573,47.37857142857143,3.6785714285714284
51.0,30,26.248571428571427,47.24742857142857,3.751428571428574
52.0,30,26.175714285714285,47.116285714285716,3.824285714285716
53.0,30,26.072857142857142,46.93114285714286,3.9271428571428593
54.0,30,26.021428571428572,46.838571428571434,3.978571428571429
