Tiempo,Entrada,Salida
0.0,20,16.0
0.5,20,15.646474677259185
1.0,20,15.277060575968223
1.5,20,15.070506454816286
2.0,20,14.74875868917577
2.5,20,14.538232373386297
3.0,20,14.28798411122145
3.5,20,13.994041708043694
4.0,20,13.755710029791459
4.5,20,13.604766633565045
5.0,20,13.394240317775571
5.5,20,13.235352532274081
6.0,20,13.05263157894737
6.5,20,12.838133068520357
7.0,20,12.818272095332672
7.5,20,12.718967229394242
8.0,20,12.452830188679245
8.5,20,12.397219463753725
9.0,20,12.333664349553128
9.5,20,12.25819265143992
10.0,20,12.15888778550149
10.5,20,11.916583912611719
11.0,20,11.920556107249256
11.5,20,11.853028798411122
12.0,20,11.749751737835155
12.5,20,11.646474677259185
13.0,20,11.499503475670307
13.5,20,11.483614697120158
14.0,20,11.285004965243298
14.5,20,11.32472691161867
15.0,20,11.0506454816286
15.5,20,11.054617676266137
16.0,20,10.915590863952334
16.5,20,10.788480635551142
17.0,20,10.828202581926515
17.5,20,10.605759682224429
18.0,20,10.438927507447865
18.5,20,10.728897715988083
19.0,20,10.478649453823238
19.5,20,10.367428003972195
20.0,20,10.220456802383318
20.5,20,10.184707050645482
21.0,20,10.101290963257199
21.5,20,9.819265143992055
22.0,20,10.001986097318769
22.5,20,9.7279046673287
23.0,20,9.644488579940417
23.5,20,9.549155908639523
24.0,20,9.533267130089374
24.5,20,9.493545183714001
25.0,20,9.433962264150944
25.5,20,9.549155908639523
26.0,20,9.195630585898709
26.5,20,9.155908639523338
27.0,20,9.163853028798412
27.5,20,9.155908639523338
28.0,20,8.961271102284012
28.5,20,8.86593843098312
29.0,20,8.659384309831182
29.5,20,8.854021847070507
30.0,20,8.611717974180735
30.5,20,8.556107249255215
31.0,20,8.711022840119167
31.5,20,8.262164846077457
32.0,20,8.377358490566039
32.5,20,8.270109235352532
33.0,20,8.107249255213505
33.5,20,8.107249255213505
34.0,20,8.051638530287985
34.5,20,7.948361469712017
35.0,20,7.8570009930486595
35.5,20,7.777557100297916
36.0,20,7.74180734856008
36.5,20,7.614697120158889
37.0,20,7.638530287984112
37.5,20,7.618669314796426
38.0,20,7.6782522343594835
38.5,20,7.451837140019862
39.0,20,7.277060575968223
39.5,20,7.431976166832175
40.0,20,7.336643495531282
40.5,20,6.812313803376366
41.0,20,7.241310824230387
41.5,20,7.13803376365442
42.0,20,6.919563058589871
42.5,20,6.927507447864945
43.0,20,6.804369414101291
43.5,20,6.724925521350546
44.0,20,6.883813306852035
44.5,20,6.899702085402184
45.0,20,6.395233366434956
45.5,20,6.442899702085402
46.0,20,6.339622641509434
46.5,20,6.514399205561073
47.0,20,6.339622641509434
47.5,20,6.2999006951340615
48.0,20,6.26017874875869
48.5,20,6.0695134061569025
49.0,20,6.057596822244291
49.5,20,6.101290963257201
