Tiempo,Referencia,Error,Señal de control,Salida
0.0,20,19.535714285714285,29.303571428571427,0.46428571428571674
1.0,20,19.522857142857145,29.284285714285716,0.47714285714285654
2.0,20,19.492857142857144,29.239285714285714,0.5071428571428577
3.0,20,19.475714285714286,29.213571428571427,0.5242857142857155
4.0,20,19.40714285714286,29.110714285714288,0.5928571428571431
5.0,20,19.364285714285714,29.04642857142857,0.6357142857142876
6.0,20,19.321428571428573,28.98214285714286,0.6785714285714285
7.0,20,19.27857142857143,28.917857142857144,0.721428571428573
8.0,20,19.240000000000002,28.860000000000003,0.7599999999999995
9.0,20,19.21,28.815,0.7900000000000006
10.0,20,19.162857142857142,28.744285714285713,0.8371428571428595
11.0,20,19.12857142857143,28.692857142857143,0.8714285714285716
12.0,20,19.09857142857143,28.64785714285714,0.9014285714285727
13.0,20,19.06,28.589999999999996,0.9400000000000027
14.0,20,19.012857142857143,28.519285714285715,0.9871428571428581
15.0,20,18.99142857142857,28.487142857142857,1.0085714285714302
16.0,20,18.944285714285716,28.416428571428575,1.0557142857142856
17.0,20,18.91857142857143,28.377857142857145,1.0814285714285723
18.0,20,18.884285714285713,28.326428571428572,1.1157142857142879
19.0,20,18.86714285714286,28.30071428571429,1.1328571428571421
20.0,20,18.802857142857142,28.204285714285714,1.1971428571428588
21.0,20,18.802857142857142,28.204285714285714,1.1971428571428588
22.0,20,18.785714285714285,28.178571428571427,1.2142857142857166
23.0,20,18.747142857142858,28.120714285714286,1.2528571428571431
24.0,20,18.708571428571428,28.06285714285714,1.2914285714285731
25.0,20,18.687142857142856,28.030714285714282,1.3128571428571454
26.0,20,18.65714285714286,27.985714285714288,1.342857142857143
27.0,20,18.64,27.96,1.3600000000000008
28.0,20,18.627142857142857,27.940714285714286,1.372857142857144
29.0,20,18.605714285714285,27.908571428571427,1.3942857142857163
30.0,30,28.584285714285716,42.876428571428576,1.415714285714285
31.0,30,28.52,42.78,1.4800000000000018
32.0,30,28.490000000000002,42.735,1.5099999999999993
