,tiempo,U,Y
0,0.0,1.0,4.968980371637482
1,0.19639233855809562,1.0,4.976136523929814
2,0.39278467711619125,1.0,5.01547139077051
3,0.5891770156742868,1.0,5.0493749256876335
4,0.7855693542323825,1.0,5.307407794188663
5,0.9819616927904782,1.0,5.093532735687462
6,1.1783540313485736,1.0,5.354509053055254
7,1.3747463699066693,1.0,5.496060805731248
8,1.571138708464765,1.0,5.557965979928217
9,1.7675310470228607,1.0,5.506635239600801
10,1.9639233855809564,1.0,5.910602561155145
11,2.160315724139052,1.0,5.872705583367765
12,2.3567080626971473,1.0,5.903273051891657
13,2.553100401255243,1.0,6.062745675031349
14,2.7494927398133386,1.0,5.85021854276839
15,2.9458850783714343,1.0,6.176615280422535
16,3.14227741692953,1.0,6.161473718218211
17,3.3386697554876257,1.0,6.279357642657897
18,3.5350620940457214,1.0,6.317675390387397
19,3.731454432603817,1.0,6.161062440547826
20,3.9278467711619127,1.0,6.637190709422466
21,4.124239109720008,1.0,6.511926469264732
22,4.320631448278104,1.0,6.536894139466687
23,4.5170237868362,1.0,6.637425610160523
24,4.7134161253942946,1.0,6.5720338866592725
25,4.90980846395239,1.0,6.7115347282644064
26,5.106200802510486,1.0,6.680362609384459
27,5.302593141068582,1.0,6.578464151671292
28,5.498985479626677,1.0,6.779051981519948
29,5.695377818184773,1.0,6.5818211864149205
30,5.891770156742869,1.0,6.75385290457657
31,6.088162495300964,1.0,6.657111707467478
32,6.28455483385906,1.0,6.727429362312311
33,6.480947172417156,1.0,6.513674086788282
34,6.677339510975251,1.0,6.731358521349638
35,6.873731849533347,1.0,6.81527492903344
36,7.070124188091443,1.0,6.891089662349664
37,7.266516526649538,1.0,6.671671389240498
38,7.462908865207634,1.0,6.77176200359221
39,7.65930120376573,1.0,6.70270722158091
40,7.855693542323825,1.0,6.900058849855167
41,8.05208588088192,1.0,6.850855815919672
42,8.248478219440017,1.0,6.801036033336077
43,8.444870557998112,1.0,6.960939570474132
44,8.641262896556208,1.0,6.75092350019118
45,8.837655235114303,1.0,6.852967374556438
46,9.0340475736724,1.0,6.916437150440789
47,9.230439912230494,1.0,6.803079342839694
48,9.426832250788589,1.0,6.880711284480454
49,9.623224589346686,1.0,6.7967455945932125
50,9.81961692790478,1.0,7.06718255318434
51,10.016009266462877,1.0,6.802549982885956
52,10.212401605020972,1.0,6.94509979720791
53,10.408793943579068,1.0,6.952464296433583
54,10.605186282137163,1.0,6.942466315198046
55,10.80157862069526,1.0,6.884170233936686
56,10.997970959253355,1.0,6.8654668039293645
57,11.194363297811451,1.0,6.877456363201016
58,11.390755636369546,1.0,7.00874946862902
59,11.587147974927642,1.0,6.815810978162032
60,11.783540313485737,1.0,7.116582309215107
61,11.979932652043834,1.0,7.022057292704118
62,12.176324990601929,1.0,7.026773409839785
63,12.372717329160025,1.0,6.733818934076566
64,12.56910966771812,1.0,6.968647851198872
65,12.765502006276215,1.0,7.01878976242714
66,12.961894344834311,1.0,7.0053840764566875
67,13.158286683392406,1.0,6.92948839534895
68,13.354679021950503,1.0,6.98025842224191
69,13.551071360508598,1.0,7.024064364302172
70,13.747463699066694,1.0,6.927369891786264
71,13.943856037624789,1.0,7.26823810360607
72,14.140248376182885,1.0,6.938206828699036
73,14.33664071474098,1.0,6.957378855008014
74,14.533033053299077,1.0,6.8201719430927765
75,14.729425391857172,1.0,6.914310971401866
76,14.925817730415268,1.0,7.2204124342719425
77,15.122210068973363,1.0,6.887249811137045
78,15.31860240753146,1.0,6.964231862777101
79,15.514994746089554,1.0,6.9902389554849265
80,15.71138708464765,1.0,7.040617587531549
81,15.907779423205746,1.0,6.985872552652045
82,16.10417176176384,1.0,6.845984776077551
83,16.300564100321935,1.0,7.149229083645685
84,16.496956438880034,1.0,6.959260901303803
85,16.69334877743813,1.0,7.04930789491328
86,16.889741115996223,1.0,7.010677495819951
87,17.086133454554318,1.0,6.880159266749112
88,17.282525793112416,1.0,6.910749994948404
89,17.47891813167051,1.0,7.109683812401907
90,17.675310470228606,1.0,7.20597513210941
91,17.8717028087867,1.0,6.98358281764352
92,18.0680951473448,1.0,7.013718993438957
93,18.264487485902894,1.0,6.837988117035419
94,18.46087982446099,1.0,7.024954440929488
95,18.657272163019083,1.0,6.940749659133865
96,18.853664501577178,1.0,6.962240233520887
97,19.050056840135277,1.0,6.950792823714261
98,19.24644917869337,1.0,7.246841643412107
99,19.442841517251466,1.0,7.000341298485609
100,19.63923385580956,1.0,7.0017752026489095
101,19.83562619436766,1.0,6.923091539150769
102,20.032018532925754,1.0,6.978082176194632
103,20.22841087148385,1.0,7.017932989587824
104,20.424803210041944,1.0,6.872110804067225
105,20.621195548600042,1.0,7.062854433150567
106,20.817587887158137,1.0,7.087116121641111
107,21.01398022571623,1.0,6.811482012807588
108,21.210372564274326,1.0,6.954953938243456
109,21.406764902832425,1.0,6.891856045476236
110,21.60315724139052,1.0,7.07921208035455
111,21.799549579948614,1.0,6.868552543816888
112,21.99594191850671,1.0,6.9909716622040525
113,22.192334257064804,1.0,6.868064567404009
114,22.388726595622902,1.0,6.9709249340459145
115,22.585118934180997,1.0,7.032314493706536
