Tiempo,Entrada,Salida
0.0,45,45.04865938430983
0.5,45,45.19165839126117
1.0,45,45.21151936444886
1.5,45,45.17974180734856
2.0,45,45.24329692154916
2.5,45,45.34657398212512
3.0,45,45.21946375372393
3.5,45,45.39821251241311
4.0,45,45.18768619662363
4.5,45,45.21151936444886
5.0,45,45.23932472691162
5.5,45,45.20754716981132
6.0,45,45.10029791459782
6.5,45,45.306852035749756
7.0,45,45.24726911618669
7.5,45,45.24726911618669
8.0,45,45.298907646474674
8.5,45,45.24726911618669
9.0,45,45.29096325719961
9.5,45,45.286991062562066
10.0,45,45.25918570009931
10.5,45,45.33068520357497
11.0,45,45.322740814299905
11.5,45,45.27507447864946
12.0,45,45.3545183714002
12.5,45,45.322740814299905
13.0,45,45.286991062562066
13.5,45,45.32671300893743
14.0,45,45.33068520357497
14.5,45,45.306852035749756
15.0,45,45.334657398212514
15.5,45,45.34260178748758
16.0,45,45.27507447864946
16.5,45,45.37437934458788
17.0,45,45.36246276067527
17.5,45,45.38232373386296
18.0,45,45.44190665342602
18.5,45,45.386295928500495
19.0,45,45.39424031777557
19.5,45,45.49751737835154
20.0,45,45.42999006951341
20.5,45,45.35054617676266
21.0,45,45.49751737835154
21.5,45,45.39821251241311
22.0,45,45.44985104270109
22.5,45,45.545183714001986
23.0,45,45.26315789473684
23.5,45,45.50148957298907
24.0,45,45.493545183714005
24.5,45,45.42999006951341
25.0,45,45.493545183714005
25.5,45,45.49751737835154
26.0,45,45.46176762661371
26.5,45,45.53326713008937
27.0,45,45.453823237338625
27.5,45,45.40615690168818
28.0,45,45.477656405163856
28.5,45,45.48560079443892
29.0,45,45.44985104270109
29.5,45,45.50546176762661
30.0,45,45.489572989076464
30.5,45,45.51340615690169
31.0,45,45.61668321747766
31.5,45,45.65640516385302
32.0,45,45.49751737835154
32.5,45,45.509433962264154
33.0,45,45.41012909632572
33.5,45,45.469712015888774
34.0,45,45.60873882820258
34.5,45,45.509433962264154
35.0,45,45.54121151936445
35.5,45,45.55312810327706
36.0,45,45.42204568023833
36.5,45,45.576961271102284
37.0,45,45.59682224428997
37.5,45,45.37437934458788
38.0,45,45.576961271102284
38.5,45,45.561072492552135
39.0,45,45.509433962264154
39.5,45,45.592850049652434
40.0,45,45.60873882820258
40.5,45,45.53723932472691
41.0,45,45.60079443892751
41.5,45,45.56504468718967
42.0,45,45.54121151936445
42.5,45,45.60476663356505
43.0,45,45.42601787487587
43.5,45,45.6206554121152
44.0,45,45.628599801390266
44.5,45,45.5571002979146
45.0,45,45.56901688182721
45.5,45,45.63257199602781
46.0,45,45.55312810327706
46.5,45,45.5888778550149
47.0,45,45.67229394240317
47.5,45,45.66832174776564
48.0,45,45.55312810327706
48.5,45,45.628599801390266
49.0,45,45.67229394240317
49.5,45,45.59682224428997
50.0,85,45.664349553128105
50.5,85,45.59682224428997
51.0,85,45.660377358490564
51.5,85,45.870903674280044
52.0,85,45.81132075471698
52.5,85,46.22045680238332
53.0,85,46.240317775571
53.5,85,46.27606752730884
54.0,85,46.299900695134056
54.5,85,46.50248262164846
55.0,85,46.6137040714995
55.5,85,46.70903674280039
56.0,85,46.923535253227406
56.5,85,46.90367428003972
57.0,85,47.177755710029786
57.5,85,47.392254220456806
58.0,85,47.51936444885799
58.5,85,47.662363455809334
59.0,85,47.70605759682225
59.5,85,47.578947368421055
60.0,85,47.733862959285005
60.5,85,47.976166832174776
61.0,85,47.85700099304866
61.5,85,48.13108242303873
62.0,85,48.079443892750746
62.5,85,48.22244289970209
63.0,85,48.421052631578945
63.5,85,48.405163853028796
64.0,85,48.61966236345581
64.5,85,48.62363455809334
65.0,85,48.65938430983118
65.5,85,48.75471698113208
66.0,85,48.88977159880834
66.5,85,48.957298907646475
67.0,85,49.22740814299901
67.5,85,49.0883813306852
68.0,85,49.22740814299901
68.5,85,49.21151936444886
69.0,85,49.32671300893743
69.5,85,49.48162859980139
70.0,85,49.54915590863952
70.5,85,49.52929493545184
71.0,85,49.73982125124131
71.5,85,49.76762661370407
72.0,85,49.855014895729894
72.5,85,49.8987090367428
73.0,85,49.95829195630586
73.5,85,49.986097318768614
74.0,85,50.144985104270106
74.5,85,50.2720953326713
75.0,85,50.35948361469712
75.5,85,50.32373386295929
76.0,85,50.3793445878848
76.5,85,50.335650446871895
77.0,85,50.522343594836144
77.5,85,50.57000993048659
78.0,85,50.64150943396226
78.5,85,50.70903674280039
79.0,85,50.74478649453823
79.5,85,50.82820258192652
80.0,85,51.01489572989077
80.5,85,50.92750744786494
81.0,85,51.058589870903674
81.5,85,51.16583912611718
82.0,85,50.987090367428
82.5,85,51.177755710029786
83.0,85,51.26117179741807
83.5,85,51.29692154915591
84.0,85,51.33267130089374
84.5,85,51.41608738828202
85.0,85,51.46772591857001
85.5,85,51.60278053624627
86.0,85,51.574975173783514
86.5,85,51.49950347567031
87.0,85,51.61072492552135
87.5,85,51.70208540218471
88.0,85,51.67030784508441
88.5,85,51.77755710029791
89.0,85,51.801390268123136
89.5,85,51.91261171797418
90.0,85,51.992055610724925
90.5,85,52.095332671300895
91.0,85,52.06752730883813
91.5,85,52.146971201588876
92.0,85,52.111221449851044
92.5,85,52.234359483614696
93.0,85,52.32571996027805
93.5,85,52.2780536246276
94.0,85,52.38530287984111
94.5,85,52.349553128103274
95.0,85,52.337636544190666
95.5,85,52.47666335650447
96.0,85,52.50049652432969
96.5,85,52.64746772591857
97.0,85,52.62363455809334
97.5,85,52.61966236345581
98.0,85,52.52035749751738
98.5,85,52.679245283018865
99.0,85,52.69116186693148
99.5,85,52.63952333664349
100.0,85,52.90566037735849
100.5,85,52.88977159880834
101.0,85,52.82621648460775
101.5,85,52.93346573982125
102.0,85,52.91360476663356
102.5,85,52.88977159880834
103.0,85,53.01688182720953
103.5,85,53.15590863952333
104.0,85,53.060575968222444
104.5,85,53.21946375372393
105.0,85,53.14001986097319
105.5,85,53.2909632571996
106.0,85,53.211519364448854
