Tiempo,Referencia,Error,Señal de control,Salida
0.0,8.7,-8.276103372434019,-82.7610337243402,16.976103372434018
0.5,8.7,-8.290582844574782,-82.90582844574783,16.99058284457478
1.0,8.7,-8.26017595307918,-82.60175953079181,16.96017595307918
1.5,8.7,-7.901085043988271,-79.01085043988272,16.60108504398827
2.0,8.7,-7.174215542521996,-71.74215542521995,15.874215542521995
2.5,8.7,-6.233049853372435,-62.33049853372435,14.933049853372435
3.0,8.7,-5.283196480938418,-52.83196480938418,13.983196480938417
3.5,8.7,-4.000315249266865,-40.003152492668654,12.700315249266865
4.0,8.7,-2.7319134897360726,-27.319134897360726,11.431913489736072
4.5,8.7,-1.6010667155425224,-16.010667155425224,10.301066715542522
5.0,8.7,-0.5903995601173051,-5.903995601173051,9.290399560117304
5.5,8.7,0.34207844574779855,3.4207844574779855,8.3579215542522
6.0,8.7,1.1732001466275648,11.732001466275648,7.5267998533724345
6.5,8.7,1.9188929618768302,19.188929618768302,6.781107038123169
7.0,8.7,2.508207478005863,25.08207478005863,6.191792521994136
7.5,8.7,2.4488416422287376,24.488416422287376,6.251158357771262
8.0,8.7,2.2548167155425194,22.548167155425194,6.44518328445748
8.5,8.7,1.8363599706744846,18.363599706744846,6.863640029325515
9.0,8.7,1.4323826979472116,14.323826979472116,7.267617302052788
9.5,8.7,1.19057551319648,11.9057551319648,7.509424486803519
10.0,8.7,1.135553519061581,11.35553519061581,7.564446480938418
10.5,8.7,1.2296700879765385,12.296700879765385,7.470329912023461
11.0,8.7,1.3961840175953064,13.961840175953064,7.303815982404693
11.5,8.7,1.5569061583577692,15.569061583577692,7.14309384164223
12.0,8.7,1.693013196480937,16.93013196480937,7.006986803519062
12.5,8.7,1.7712023460410542,17.712023460410542,6.928797653958945
13.0,8.7,1.7697543988269775,17.697543988269775,6.930245601173022
13.5,8.7,1.7335557184750723,17.335557184750723,6.966444281524927
14.0,8.7,1.674189882697945,16.74189882697945,7.025810117302054
14.5,8.7,1.5988966275659813,15.988966275659813,7.101103372434018
15.0,8.7,1.5453225806451591,15.453225806451591,7.15467741935484
15.5,8.7,1.5105718475073289,15.105718475073289,7.18942815249267
16.0,8.7,1.514915689149559,15.14915689149559,7.18508431085044
16.5,8.7,1.5351869501466258,15.351869501466258,7.1648130498533735
17.0,8.7,1.5626979472140743,15.626979472140743,7.137302052785925
17.5,8.7,1.5887609970674461,15.887609970674461,7.111239002932553
18.0,8.7,1.613376099706743,16.13376099706743,7.086623900293256
18.5,8.7,1.6408870967741915,16.408870967741915,7.059112903225808
19.0,8.7,1.6582624633431067,16.582624633431067,7.041737536656893
19.5,8.7,1.6640542521994117,16.640542521994117,7.035945747800588
20.0,8.7,1.6698460410557168,16.698460410557168,7.0301539589442825
20.5,8.7,1.6582624633431067,16.582624633431067,7.041737536656893
21.0,8.7,1.6481268328445733,16.481268328445733,7.051873167155426
21.5,8.7,1.6278555718475047,16.278555718475047,7.0721444281524946
22.0,8.7,1.624959677419353,16.24959677419353,7.075040322580646
22.5,8.7,1.6162719941348946,16.162719941348946,7.083728005865105
23.0,8.7,1.613376099706743,16.13376099706743,7.086623900293256
23.5,8.7,1.6090322580645147,16.090322580645147,7.090967741935485
24.0,8.7,1.5960007331378279,15.960007331378279,7.103999266862171
24.5,8.7,1.607584310850438,16.07584310850438,7.092415689149561
25.0,8.7,1.613376099706743,16.13376099706743,7.086623900293256
25.5,8.7,1.6293035190615814,16.293035190615814,7.070696480938418
26.0,8.7,1.63799120234604,16.3799120234604,7.062008797653959
26.5,8.7,1.6481268328445733,16.481268328445733,7.051873167155426
27.0,8.7,1.6582624633431067,16.582624633431067,7.041737536656893
27.5,8.7,1.662606304985335,16.62606304985335,7.037393695014664
28.0,8.7,1.6712939882697935,16.712939882697935,7.028706011730206
28.5,8.7,1.6712939882697935,16.712939882697935,7.028706011730206
29.0,8.7,1.6669501466275634,16.669501466275634,7.033049853372436
29.5,8.7,1.6669501466275634,16.669501466275634,7.033049853372436
30.0,30.0,22.96115835777126,229.61158357771262,7.038841642228741
30.5,30.0,22.959710410557186,229.59710410557187,7.040289589442816
31.0,30.0,22.053295454545456,220.53295454545457,7.946704545454546
31.5,30.0,20.143453079178883,201.43453079178883,9.856546920821117
32.0,30.0,18.31324780058651,183.1324780058651,11.68675219941349
32.5,30.0,16.661140029325512,166.61140029325512,13.338859970674488
33.0,30.0,15.155274926686214,151.55274926686215,14.844725073313786
33.5,30.0,13.826059384164221,138.26059384164222,16.17394061583578
34.0,30.0,12.614127565982404,126.14127565982403,17.385872434017596
34.5,30.0,11.555678152492668,115.55678152492668,18.444321847507332
35.0,30.0,10.602928885630497,106.02928885630497,19.397071114369503
35.5,30.0,9.709545454545452,97.09545454545452,20.290454545454548
36.0,30.0,8.937789589442815,89.37789589442815,21.062210410557185
36.5,30.0,8.232639296187681,82.32639296187682,21.76736070381232
37.0,30.0,7.6172617302052785,76.17261730205279,22.38273826979472
37.5,30.0,7.100344574780056,71.00344574780055,22.899655425219944
38.0,30.0,6.661616568914955,66.61616568914954,23.338383431085045
38.5,30.0,6.332932551319647,63.32932551319647,23.667067448680353
39.0,30.0,6.114292521994134,61.14292521994134,23.885707478005866
39.5,30.0,6.008592375366568,60.08592375366568,23.991407624633432
40.0,30.0,5.946330645161289,59.463306451612894,24.05366935483871
40.5,30.0,5.930403225806451,59.30403225806451,24.06959677419355
41.0,30.0,5.957914222873896,59.57914222873896,24.042085777126104
41.5,30.0,5.986873167155423,59.86873167155423,24.013126832844577
42.0,30.0,6.0303115835777135,60.303115835777135,23.969688416422287
42.5,30.0,6.057822580645162,60.57822580645162,23.942177419354838
43.0,30.0,6.079541788856304,60.79541788856304,23.920458211143696
