"time","inertia.w","inertia.a","sine.y"
0,0,0,0
0.002,3.141587375604301e-06,0.003141509970838152,0.01256603988335261
0.004,1.256545435867552e-05,0.00628252386083437,0.02513009544333748
0.006,2.826830148935476e-05,0.009422545667483635,0.03769018266993454
0.008,5.02498671747791e-05,0.01256107954494239,0.05024431817976956
0.01,7.849264024346497e-05,0.01569762988232834,0.06279051952931337
0.012,0.0001129998250284691,0.01883170138198318,0.07532680552793272
0.014,0.0001537726424772246,0.02196279913768579,0.08785119655074317
0.016,0.0002008110925897316,0.02509042871280372,0.1003617148512149
0.018,0.0002540709595760911,0.02821409621837042,0.1128563848734817
0.02,0.0003135658630287917,0.03133330839107606,0.1253332335643043
0.022,0.0003793041137751784,0.03444757267115951,0.1377902906846381
0.024,0.0004512857118152512,0.03755639728018927,0.1502255891207571
0.026,0.000529439207755308,0.0406592912987209,0.1626371651948836
0.028,0.0006137715955077697,0.04375576474381901,0.175023058975276
0.03,0.0007043056547259554,0.04684532864643115,0.1873813145857246
0.032,0.0008010413854098658,0.04992749512860176,0.199709980514407
0.034,0.0009038945204804947,0.05300177748051366,0.2120071099220546
0.036,0.001012850160429634,0.05606769023734529,0.2242707609493811
0.038,0.001127949514919941,0.05912474925593117,0.2364989970237247
0.04,0.001249192583951417,0.0621724717912137,0.2486898871648548
0.042,0.001376527630146357,0.06521037657247424,0.2608415062898969
0.044,0.001509905020279516,0.06823798387933129,0.2729519355173252
0.046,0.001649342930423338,0.07125481561749403,0.2850192624699761
0.048,0.001794826549374246,0.07426039539425873,0.2970415815770349
0.05,0.001946316188033825,0.07725424859373685,0.3090169943749474
0.052,0.00210375798305607,0.08023590245180237,0.3209436098072095
0.054,0.002267151279211441,0.08320488613074666,0.3328195445229866
0.056,0.002436472249889144,0.08616073079362926,0.3446429231745171
0.058,0.002611697068478388,0.08910296967831269,0.3564118787132508
0.06,0.002792801660461153,0.09203113817116948,0.3681245526846779
0.062,0.002979729256385882,0.09494477388045026,0.3797790955218011
0.064,0.00317247149660648,0.09784341670930061,0.3913736668372024
0.066,0.003371001593264402,0.1007266089284157,0.4029064357136626
0.068,0.003575292758501104,0.103593895248321,0.4143755809932841
0.07,0.003785318204458041,0.1064448228912682,0.4257792915650727
0.072,0.004001018472207653,0.1092789416627332,0.4371157666509328
0.074,0.004222353627846032,0.1120958040225081,0.4483832160900322
0.076,0.004449309034774569,0.114894965155372,0.4595798606214878
0.078,0.004681853102399216,0.1176759830413331,0.4707039321653325
0.08,0.004919954240125927,0.1204384185254288,0.4817536741017153
0.082,0.005163571854066029,0.1231818353870729,0.4927273415482916
0.084,0.005412625176495697,0.1259058004089402,0.5036232016357608
0.086,0.005667108518173769,0.1286098834453766,0.5144395337815064
0.088,0.005926985393621427,0.1312936574903239,0.5251746299612956
0.09,0.006192219317359852,0.1339566987447492,0.5358267949789967
0.092,0.006462773803910225,0.1365985866835673,0.5463943467342691
0.094,0.006738570109442692,0.139218904122047,0.556875616488188
0.096,0.007019575376689109,0.1418172372816891,0.5672689491267565
0.098,0.007305758490367204,0.1443931758555669,0.5775727034222676
0.1,0.007597078332161411,0.1469463130731183,0.5877852522924731
0.102,0.007893493783756166,0.1494762457643797,0.5979049830575188
0.104,0.008194951760877619,0.1519825744236513,0.6079302976946054
0.106,0.00850138429759657,0.1544649032725836,0.6178596130903343
0.108,0.008812759175656619,0.1569228403226751,0.6276913612907005
0.11,0.009129027594744311,0.1593559974371724,0.6374239897486896
0.112,0.009450139984153621,0.1617639903923611,0.6470559615694442
0.114,0.00977604600278599,0.1641464389382391,0.6565857557529565
0.116,0.01010669453915028,0.1665029668585629,0.6660118674342517
0.118,0.01044203371136282,0.1688332020302561,0.6753328081210244
0.12,0.01078201086714735,0.1711367764821722,0.6845471059286886
0.122,0.0111265725838351,0.1734133264532012,0.6936533058128049
0.124,0.01147566466836469,0.1756624924497123,0.7026499697988492
0.126,0.01182922915596122,0.1778839193023213,0.7115356772092853
0.128,0.01218720871920809,0.1800772562219767,0.7203090248879069
0.13,0.01254954870491926,0.1822421568553529,0.7289686274214116
0.132,0.01291619137047885,0.1843782793395435,0.7375131173581739
0.134,0.01328707816992747,0.1864852863560455,0.7459411454241821
0.136,0.01366214975396217,0.1885628451840259,0.7542513807361038
0.138,0.01404134596993648,0.190610627752862,0.7624425110114479
0.14,0.01442460586186041,0.1926283106939473,0.7705132427757893
0.142,0.01481186767040044,0.1946155753917558,0.7784623015670233
0.144,0.01520306883287953,0.1965721080341547,0.7862884321366188
0.146,0.01559814598327709,0.1984975996619588,0.7939903986478353
0.148,0.01599705778284166,0.2003917462177191,0.8015669848708765
0.15,0.01639973668672545,0.2022542485937369,0.8090169943749475
0.152,0.01680610998645347,0.204084812679296,0.8163392507171839
0.154,0.01721611300724035,0.2058831494071069,0.8235325976284275
0.156,0.01762968038247137,0.2076489747989531,0.8305958991958126
0.158,0.01804674605370241,0.2093820100105354,0.8375280400421417
0.16,0.01846724327065996,0.2110819813755038,0.8443279255020151
0.162,0.01889110459124118,0.212748620448673,0.8509944817946918
0.164,0.01931826188151381,0.2143816640484131,0.8575266561936523
0.166,0.01974864631571621,0.2159808542982088,0.8639234171928353
0.168,0.0201821883762574,0.2175459386673814,0.8701837546695257
0.17,0.02061884738628687,0.2190766700109659,0.8763066800438637
0.172,0.0210585385769963,0.2205728066087383,0.8822912264349532
0.174,0.02150118783623905,0.2220341122033861,0.8881364488135445
0.176,0.02194672463214623,0.2234603560378159,0.8938414241512637
0.178,0.02239507783525478,0.2248513128915927,0.899405251566371
