"time","ramp.y","ramp.duration"
0.626,0.313,2
0.628,0.314,2
0.63,0.315,2
0.632,0.316,2
0.634,0.317,2
0.636,0.318,2
0.638,0.319,2
0.64,0.32,2
0.642,0.321,2
0.644,0.322,2
0.646,0.323,2
0.648,0.324,2
0.65,0.325,2
0.652,0.326,2
0.654,0.327,2
0.656,0.328,2
0.658,0.329,2
0.66,0.33,2
0.662,0.331,2
0.664,0.332,2
0.666,0.333,2
0.668,0.334,2
0.67,0.335,2
0.672,0.336,2
0.674,0.337,2
0.676,0.338,2
0.678,0.339,2
0.68,0.34,2
0.682,0.341,2
0.684,0.342,2
0.686,0.343,2
0.688,0.344,2
0.69,0.345,2
0.692,0.346,2
0.694,0.347,2
0.696,0.348,2
0.698,0.349,2
0.7,0.35,2
0.702,0.351,2
0.704,0.352,2
0.706,0.353,2
0.708,0.354,2
0.71,0.355,2
0.712,0.356,2
0.714,0.357,2
0.716,0.358,2
0.718,0.359,2
0.72,0.36,2
0.722,0.361,2
0.724,0.362,2
0.726,0.363,2
0.728,0.364,2
0.73,0.365,2
0.732,0.366,2
0.734,0.367,2
0.736,0.368,2
0.738,0.369,2
0.74,0.37,2
0.742,0.371,2
0.744,0.372,2
0.746,0.373,2
0.748,0.374,2
0.75,0.375,2
0.752,0.376,2
0.754,0.377,2
0.756,0.378,2
0.758,0.379,2
0.76,0.38,2
0.762,0.381,2
0.764,0.382,2
0.766,0.383,2
0.768,0.384,2
0.77,0.385,2
0.772,0.386,2
0.774,0.387,2
0.776,0.388,2
0.778,0.389,2
0.78,0.39,2
0.782,0.391,2
0.784,0.392,2
0.786,0.393,2
0.788,0.394,2
0.79,0.395,2
0.792,0.396,2
0.794,0.397,2
0.796,0.398,2
0.798,0.399,2
0.8,0.4,2
0.802,0.401,2
0.804,0.402,2
0.806,0.403,2
0.808,0.404,2
0.81,0.405,2
0.812,0.406,2
0.814,0.407,2
0.816,0.408,2
0.818,0.409,2
0.82,0.41,2
0.822,0.411,2
0.824,0.412,2
0.826,0.413,2
0.828,0.414,2
0.83,0.415,2
0.832,0.416,2
0.834,0.417,2
0.836,0.418,2
0.838,0.419,2
0.84,0.42,2
0.842,0.421,2
0.844,0.422,2
0.846,0.423,2
0.848,0.424,2
0.85,0.425,2
0.852,0.426,2
0.854,0.427,2
0.856,0.428,2
0.858,0.429,2
0.86,0.43,2
0.862,0.431,2
0.864,0.432,2
0.866,0.433,2
0.868,0.434,2
0.87,0.435,2
0.872,0.436,2
0.874,0.437,2
0.876,0.438,2
0.878,0.439,2
0.88,0.44,2
0.882,0.441,2
0.884,0.442,2
0.886,0.443,2
0.888,0.444,2
0.89,0.445,2
0.892,0.446,2
0.894,0.447,2
0.896,0.448,2
0.898,0.449,2
0.9,0.45,2
0.902,0.451,2
0.904,0.452,2
0.906,0.453,2
0.908,0.454,2
0.91,0.455,2
0.912,0.456,2
0.914,0.457,2
0.916,0.458,2
0.918,0.459,2
0.92,0.46,2
0.922,0.461,2
0.924,0.462,2
0.926,0.463,2
0.928,0.464,2
0.93,0.465,2
0.932,0.466,2
0.934,0.467,2
0.936,0.468,2
0.938,0.469,2
0.94,0.47,2
0.942,0.471,2
0.944,0.472,2
0.946,0.473,2
0.948,0.474,2
0.95,0.475,2
0.952,0.476,2
0.954,0.477,2
0.956,0.478,2
0.958,0.479,2
0.96,0.48,2
0.962,0.481,2
0.964,0.482,2
0.966,0.483,2
0.968,0.484,2
0.97,0.485,2
0.972,0.486,2
0.974,0.487,2
0.976,0.488,2
0.978,0.489,2
0.98,0.49,2
0.982,0.491,2
0.984,0.492,2
0.986,0.493,2
0.988,0.494,2
0.99,0.495,2
0.992,0.496,2
0.994,0.497,2
0.996,0.498,2
0.998,0.499,2
1,0.5,2
1,0.5,2
